"last_name","first_name","name","team","player_id","year","HR.","BB.","AVG","SLG","OBP","RBI.PA","CSSB.","SB.","DPTP.","SacBunt.","SweetSpot.","Barrel.","HPto1B","SprintSpeed"
"Cabrera"," Asdrubal","Asdrubal Cabrera","ARI",452678,2021,-0.193569719,0.623820847,0.306907378,0.20369367,0.464194604,0.538991552,-0.505944144,-0.420469723,0.407971811,-0.702738134,-0.09490303,-0.03731921,0.734233899,-1.046167558
"LeBlanc"," Wade","Wade LeBlanc","STL",453281,2021,-1.143454263,-1.824891613,-2.728452204,-2.340454516,-3.041802126,-1.804190212,-0.629532178,-0.57571644,-1.071443357,1.74447806,-3.449813742,-1.19977291,0.010072783,-0.002291049
"Scherzer"," Max","Max Scherzer","NYM",453286,2021,-1.143454263,-1.824891613,-2.728452204,-2.340454516,-3.041802126,-1.49247442,-0.629532178,-0.57571644,-0.102927906,1.132674011,-0.888898565,-1.19977291,4.025875338,-3.270822415
"Arrieta"," Jake","Jake Arrieta","SD",453562,2021,-1.143454263,-0.216423625,-1.01281418,-1.436795324,-0.801548625,-1.804190212,-0.629532178,-0.57571644,-1.071443357,1.74447806,-0.396844994,-1.19977291,0.010072783,-0.002291049
"Blackmon"," Charlie","Charlie Blackmon","COL",453568,2021,-0.082952265,0.407757983,0.834796001,0.516498775,0.889842769,0.827719403,-0.429566905,-0.324527461,-0.182067344,-0.702738134,0.151123756,0.156423073,-0.779921163,0.551020544
"Frazier"," Todd","Todd Frazier","PIT",453943,2021,-1.143454263,-0.024367746,-1.593491665,-1.548014917,-0.801548625,0.159619263,-0.629532178,-0.57571644,0.561196955,-0.702738134,-1.5263316,-0.541049147,0.767150313,-1.445464584
"Maldonado"," Martin","Martin Maldonado","HOU",455117,2021,0.205520024,0.815876726,-0.458531125,-0.25508715,0.004942636,-0.144632914,-0.629532178,-0.57571644,0.307327912,-0.702738134,-0.005438744,-0.095441895,1.557144259,-1.84476161
"Chirinos"," Robinson","Robinson Chirinos","CHC",455139,2021,1.017917764,0.095667179,0.267315731,0.815401431,0.553804744,0.825911755,-0.629532178,-0.57571644,0.106750682,1.74447806,-0.206733387,0.369539584,1.096314457,-1.103209991
"Price"," David","David Price","LAD",456034,2021,-1.143454263,-1.824891613,0.795204354,-0.02569674,-0.555120739,0.377820314,-0.629532178,-0.57571644,-1.071443357,0.928739329,-1.213206601,-1.19977291,0.010072783,-0.002291049
"Cueto"," Johnny","Johnny Cueto","SF",456501,2021,-1.143454263,0.119674164,-1.81784433,-1.860820022,-1.529631012,-1.804190212,2.096480839,2.848600269,-1.071443357,1.74447806,-2.555170885,-1.19977291,1.622977088,-1.559549448
"Cain"," Lorenzo","Lorenzo Cain","MIL",456715,2021,0.161778969,0.359744013,0.663232199,0.44698653,0.643414884,0.667737801,1.541132534,1.787431118,0.040276688,-0.702738134,-0.206733387,-0.366681092,-0.615339091,1.121444866
"Solano"," Donovan","Donovan Solano","SF",456781,2021,-0.187381557,-0.072381715,0.966768157,0.467840203,0.800232629,-0.034478186,-0.398729492,-0.285790644,0.417609678,-0.213294895,0.956302327,0.253294215,0.010072783,-0.361658372
"McCutchen"," Andrew","Andrew McCutchen","PHI",457705,2021,1.205356261,1.560093258,0.201329653,0.745889185,0.699421221,0.932826472,-0.061340267,-0.040410203,0.114083824,-0.702738134,0.307686256,0.543907639,-0.68117192,1.121444866
"Upton"," Justin","Justin Upton","LAA",457708,2021,1.098119588,0.767862756,0.056160282,0.502596326,0.273773056,0.420013899,0.00584724,0.062795657,0.905180892,-0.702738134,-0.050170887,1.067011804,0.14173844,0.43693568
"Maybin"," Cameron","Cameron Maybin","NYM",457727,2021,-1.143454263,0.359744013,-2.253352444,-2.090210432,-1.00317144,-1.804190212,1.637606529,2.272179336,-1.071443357,-0.702738134,-2.051934279,-1.19977291,-1.273667379,1.349614595
"Turner"," Justin","Justin Turner","LAD",457759,2021,0.980610753,0.575806877,0.940373726,0.933572248,1.001855444,0.987499733,-0.444636799,-0.343457704,0.21506492,-0.702738134,0.587262148,0.330791128,0.701317485,-0.703912965
"Posey III"," Buster","Buster Posey III","SF",457763,2021,0.767308026,1.12796753,1.283501331,1.128206536,1.326692201,0.618129853,-0.629532178,-0.57571644,1.098521608,-0.702738134,0.84447197,0.369539584,0.898815971,-1.445464584
"Bruce"," Jay","Jay Bruce","NYY",457803,2021,0.089799194,1.248002454,-1.171180766,-0.706916746,-0.454309332,-0.293567537,-0.629532178,-0.57571644,2.289874858,-0.702738134,0.810922862,-1.19977291,2.215472547,-2.015888906
"Happ"," J.A.","J.A. Happ","STL",457918,2021,-1.143454263,-0.216423625,-2.728452204,-2.340454516,-2.291317203,-1.804190212,-0.629532178,-0.57571644,-1.071443357,-0.702738134,0.274137149,-1.19977291,2.577553105,-2.301101067
"Votto"," Joey","Joey Votto","CIN",458015,2021,2.225970334,1.632114213,0.782007139,1.573084907,1.158673189,1.843410874,-0.561407425,-0.490140644,-0.1785932,-0.702738134,1.504271076,2.132594362,0.635484656,-0.932082694
"Gardner"," Brett","Brett Gardner","NYY",458731,2021,-0.059975796,1.296016424,0.201329653,0.175888772,0.576207279,-0.142832965,-0.172307173,-0.116237123,-0.628478937,0.409632864,-0.184367315,-0.541049147,-1.372416622,1.064402434
"Joyce"," Matt","Matt Joyce","PHI",459964,2021,0.381295436,2.35232376,-1.527505587,-0.825087563,-0.118271307,0.188080263,-0.629532178,-0.57571644,1.006462442,-0.702738134,-0.654054815,0.737649923,0.240487683,-0.304615939
"Butera"," Drew","Drew Butera","LAA",460077,2021,-1.143454263,-1.824891613,-1.48791394,-1.471551447,-2.112096923,0.92332295,-0.629532178,-0.57571644,-1.071443357,1.132674011,1.582552326,-1.19977291,0.010072783,-0.002291049
"Romine"," Andrew","Andrew Romine","CHC",461865,2021,-0.44461063,-0.312451564,-0.313361754,-0.48447756,-0.420705529,-0.269964059,1.188901994,-0.57571644,-0.119069837,-0.702738134,0.587262148,-1.19977291,-0.549506262,0.493978112
"Andrus"," Elvis","Elvis Andrus","OAK",462101,2021,-0.890351959,-0.456493474,0.478471181,-0.116062659,0.228967986,-0.461104248,0.663396476,0.831862162,0.538201992,0.346068807,0.352418398,-0.792914115,-0.121592875,-0.019403778
"Sandoval"," Pablo","Pablo Sandoval","ATL",467055,2021,1.154113818,1.248002454,-0.379347832,0.036864281,0.340980661,0.707659122,-0.629532178,-0.57571644,0.494102108,-0.702738134,1.213512148,0.815146836,2.577553105,-2.301101067
"Ramos"," Wilson","Wilson Ramos","DET",467092,2021,1.078035367,-0.504507444,-0.023023011,0.419181631,-0.297491587,0.605391976,-0.629532178,-0.57571644,-0.31459025,-0.702738134,-0.072536958,0.970140663,1.524227844,-1.730676745
"Santana"," Carlos","Carlos Santana","KC",467793,2021,0.266601906,1.320023409,0.095751929,0.036864281,0.531402209,0.251998766,-0.49998818,-0.412988061,0.142200747,-0.702738134,-0.318563744,0.117674616,0.43798617,-1.046167558
"Parra"," Gerardo","Gerardo Parra","WSH",467827,2021,-0.278905444,-0.480500459,0.399287887,0.099425302,0.206565451,0.031145748,0.248098176,-0.024493047,0.695847673,0.520869963,0.598445184,-0.928533713,0.339236926,-0.418700804
"Carrasco"," Carlos","Carlos Carrasco","NYM",471911,2021,-1.143454263,-1.824891613,-2.728452204,-2.340454516,-3.041802126,-1.804190212,-0.629532178,-0.57571644,-1.071443357,1.74447806,-3.449813742,-1.19977291,0.010072783,-0.002291049
"Anderson"," Brett","Brett Anderson","MIL",474463,2021,-1.143454263,1.007932605,-2.728452204,-2.340454516,-1.72005256,-1.226599184,-0.629532178,-0.57571644,5.050957711,1.74447806,-1.347403029,-1.19977291,0.010072783,-0.002291049
"Mercer"," Jordy","Jordy Mercer","WSH",474568,2021,-0.432765818,-0.120395685,0.623640552,0.189791221,0.396986998,-0.412514201,-0.629532178,-0.57571644,-0.58718566,-0.702738134,1.347708576,-0.50230069,-0.121592875,-0.133488643
"Belt"," Brandon","Brandon Belt","SF",474832,2021,2.598046948,1.199988484,0.887584863,1.809426542,1.192276991,1.236879578,-0.156798394,-0.219418028,0.510961862,-0.702738134,0.464248756,2.016348992,0.14173844,-0.646870533
"Zimmerman"," Ryan","Ryan Zimmerman","WSH",475582,2021,1.158618843,-0.408479504,0.478471181,0.933572248,0.161760381,1.504792777,-0.629532178,-0.57571644,0.945347606,-0.702738134,0.151123756,0.853895293,-0.154509289,-0.07644621
"Lowrie"," Jed","Jed Lowrie","OAK",476704,2021,0.141072288,0.479778937,0.504865612,0.426132856,0.520200941,0.842349901,-0.629532178,-0.57571644,-0.071138612,-0.702738134,0.631994291,0.602030324,0.43798617,-0.875040262
"Kershaw"," Clayton","Clayton Kershaw","LAD",477132,2021,-1.143454263,-1.200710006,0.201329653,-0.797282665,-0.454309332,-0.293567537,-0.629532178,-0.57571644,-1.071443357,1.74447806,0.274137149,-1.19977291,2.347138204,-2.129973771
"Avila"," Alex","Alex Avila","WSH",488671,2021,-0.672323736,2.280302805,-0.207784029,0.078571628,0.789031361,-0.211912261,-0.629532178,-0.57571644,1.496754835,1.74447806,0.978668398,0.989514891,1.49131143,-1.445464584
"Brantley Jr."," Michael","Michael Brantley Jr.","HOU",488726,2021,-0.428219868,-0.264437595,1.37588184,0.697230613,1.013056711,0.012720129,-0.481443752,-0.482704839,0.268783757,-0.702738134,0.889204112,-0.076067667,0.273404098,-0.5898281
"Castro"," Jason","Jason Castro","HOU",488771,2021,1.107854032,1.536086273,0.372893456,0.738937961,0.901044036,0.49972035,-0.629532178,-0.57571644,0.462581098,1.74447806,1.392440719,1.590115969,-0.154509289,-0.07644621
"Miley"," Wade","Wade Miley","CIN",489119,2021,-1.143454263,-0.600535383,-0.286967323,-0.665209399,-0.577523274,-0.805643014,-0.629532178,-0.57571644,-1.071443357,1.74447806,-0.32974678,-1.19977291,1.853391988,-1.730676745
"Gurriel"," Yuli","Yuli Gurriel","HOU",493329,2021,0.043261325,0.527792907,1.481459564,0.871011227,1.248283329,0.825042318,-0.512004738,-0.501899637,0.653610517,-0.702738134,0.016927327,-0.541049147,-0.483673433,0.151723519
"Campbell"," Eric","Eric Campbell","SEA",493472,2021,-1.143454263,0.167688134,0.874387648,-0.442770213,0.688219954,-1.804190212,-0.629532178,-0.57571644,-1.071443357,-0.702738134,1.023400541,-1.19977291,0.536735413,-0.5898281
"Rojas"," Miguel","Miguel Rojas","MIA",500743,2021,-0.381079414,-0.168409655,0.768809923,0.384425509,0.553804744,-0.055343191,0.629653003,0.709448811,0.082948754,0.520869963,0.173489827,-0.657294517,-0.022843632,-0.07644621
"Escobar"," Eduardo","Eduardo Escobar","ARI",500871,2021,0.995083566,0.095667179,0.610443336,0.940523473,0.475395871,1.146441714,-0.557137447,-0.484776856,-0.759189743,-0.702738134,0.799739827,0.524533411,-0.747004748,0.379893247
"Adrianza"," Ehire","Ehire Adrianza","ATL",501303,2021,0.008485748,0.575806877,0.531260043,0.44698653,0.598609814,0.826750714,-0.629532178,-0.57571644,0.184433788,-0.090934086,0.587262148,-0.657294517,-0.450757019,0.094681086
"Lagares"," Juan","Juan Lagares","LAA",501571,2021,-0.329267511,-0.936633172,0.386090672,0.245401018,-0.095868772,0.477912541,-0.154545786,-0.376829656,0.407971811,1.255034821,0.45306572,0.098300388,-0.38492419,0.836232705
"Almonte"," Abraham","Abraham Almonte","ATL",501659,2021,0.273120649,1.752149137,0.12214636,0.433084081,0.665817419,0.327945798,-0.159391998,-0.280430088,-0.299248599,-0.702738134,0.173489827,0.19517153,-0.549506262,0.608062976
"Davis"," Khris","Khris Davis","OAK",501981,2021,0.089799194,0.287723058,-0.009825796,0.182839997,0.004942636,-0.081550326,-0.629532178,-0.57571644,0.048996048,-0.702738134,-0.083719994,0.931392206,1.260896529,-0.646870533
"Gibson"," Kyle","Kyle Gibson","TEX",502043,2021,0.302429102,-1.824891613,-0.907236455,-0.665209399,-1.552033547,-0.494983889,-0.629532178,-0.57571644,-1.071443357,1.74447806,-2.331510171,-0.231061494,1.162147286,-1.160252423
"Pham"," Tommy","Tommy Pham","SD",502054,2021,0.180670473,1.512079288,0.293710162,0.321864488,0.766628826,-0.088919894,0.798216067,0.679722727,0.131554773,-0.702738134,0.497797863,0.737649923,-0.088676461,0.608062976
"Martinez"," J.D.","J.D. Martinez","BOS",502110,2021,0.91629535,0.263716073,1.04595145,1.260279802,0.867440234,1.26232617,-0.629532178,-0.57571644,0.733053781,-0.702738134,1.124047862,1.222005631,0.372153341,-0.361658372
"Espino"," Paolo","Paolo Espino","WSH",502179,2021,-1.143454263,-1.824891613,-0.524517203,-1.179600016,-1.339209465,-1.804190212,-0.629532178,-0.57571644,-1.071443357,1.74447806,0.274137149,-0.114816124,2.281305375,-2.072931338
"Reddick"," Josh","Josh Reddick","ARI",502210,2021,-0.588081855,-0.912626187,0.676429414,0.238449793,0.150559113,0.805936298,-0.629532178,-0.57571644,0.442262857,-0.702738134,1.079315719,-0.715417202,-0.121592875,-0.247573507
"Freeman"," Mike","Mike Freeman","CIN",502273,2021,-1.143454263,0.023646224,-0.273770107,-1.047526749,-0.107070039,-0.897816611,0.969579392,0.42865596,-0.102927906,-0.702738134,-0.005438744,-1.19977291,-0.648255505,0.608062976
"Dyson"," Jarrod","Jarrod Dyson","KC",502481,2021,-1.143454263,-0.216423625,0.00337142,-0.33155062,-0.185478912,-0.486197275,4.746083706,3.926050097,-0.648166269,1.132674011,-0.072536958,-1.025404855,-1.010336063,0.608062976
"Anderson"," Chase","Chase Anderson","PHI",502624,2021,-1.143454263,-1.824891613,-2.728452204,-2.340454516,-3.041802126,-1.804190212,-0.629532178,-0.57571644,-1.071443357,1.74447806,-0.654054815,-1.19977291,0.010072783,-0.002291049
"Goldschmidt"," Paul","Paul Goldschmidt","STL",502671,2021,1.012182788,0.551799892,1.151529175,1.232474904,1.046660514,1.059096064,0.029766224,0.252469824,0.160482547,-0.702738134,0.676726434,1.435122142,0.075905611,-0.304615939
"Gonzalez"," Marwin","Marwin Gonzalez","BOS",503556,2021,-0.383841635,-0.264437595,-0.102206305,-0.227282252,0.027345171,-0.013093617,0.179832941,0.034300274,0.58485837,0.520869963,-0.038987851,-0.327932635,-0.220342118,0.037638654
"Darvish"," Yu","Yu Darvish","SD",506433,2021,-1.143454263,-1.824891613,-1.48791394,-1.422892875,-1.820863968,-1.447133947,-0.629532178,-0.57571644,1.084874,1.74447806,-0.754702137,-1.19977291,2.972550077,-2.586313228
"Leon"," Sandy","Sandy Leon","MIA",506702,2021,-0.313145021,-0.504507444,-0.313361754,-0.48447756,-0.398302994,-0.554493266,-0.629532178,-0.57571644,-0.505676926,0.113000596,0.06165947,-0.792914115,1.030481629,-1.730676745
"Sanchez"," Adrian","Adrian Sanchez","WSH",506703,2021,-1.143454263,0.071660194,0.663232199,-0.157770006,0.497798406,-1.287398254,-0.629532178,-0.57571644,2.193837209,-0.702738134,-0.206733387,-1.19977291,0.372153341,-0.532785668
"Altuve"," Jose","Jose Altuve","HOU",514888,2021,1.019356278,0.503785922,0.940373726,1.05869429,0.878641501,0.599883333,-0.170486751,-0.215319012,-0.215733366,-0.35313582,0.117574649,0.040177703,-1.142001721,0.722147841
"Hernandez"," Cesar","Cesar Hernandez","CLE",514917,2021,0.401357936,0.407757983,0.333301809,0.342718161,0.408188266,0.107209902,-0.490727765,-0.488535955,0.031304929,-0.702738134,0.195855899,0.117674616,-1.076168892,1.121444866
"Segura"," Jean","Jean Segura","PHI",516416,2021,-0.001375201,-0.168409655,1.098740313,0.690279389,0.845037699,0.204644878,0.200953462,0.206702577,0.707308726,-0.213294895,0.028110363,-0.056693439,-0.779921163,0.322850815
"Castro"," Starlin","Starlin Castro","WSH",516770,2021,-0.744115032,-0.024367746,1.006359804,0.266254691,0.677018686,0.352594769,-0.510996455,-0.57571644,0.016983498,-0.702738134,0.341235363,-0.15356458,0.14173844,-0.361658372
"Marte"," Starling","Starling Marte","OAK",516782,2021,-0.066008018,0.143681149,1.362684624,0.843206329,1.237082061,0.249222744,3.165385313,3.425187902,-0.337279615,0.113000596,0.195855899,0.427662269,-1.142001721,0.95031757
"Bumgarner"," Madison","Madison Bumgarner","ARI",518516,2021,-1.143454263,2.328316775,-1.369139,-1.450697773,-0.028661167,-0.671223201,-0.629532178,-0.57571644,-1.071443357,0.928739329,1.716748755,0.292042671,3.071299321,-2.643355661
"Culberson"," Charlie","Charlie Culberson","TEX",518586,2021,-0.294656344,-0.312451564,0.478471181,0.307962039,0.228967986,-0.209953734,0.747047206,0.937340658,-0.377405987,1.255034821,0.53134697,-0.579797603,-0.944503235,0.779190273
"d'Arnaud"," Travis","Travis d'Arnaud","ATL",518595,2021,0.260920475,-0.048374731,0.174935222,0.35662061,0.139357846,0.425462469,-0.629532178,-0.57571644,0.842417269,-0.702738134,0.251771077,0.156423073,0.43798617,-0.190531075
"Donaldson"," Josh","Josh Donaldson","MIN",518626,2021,1.242095071,1.440058333,0.531260043,0.961377146,0.901044036,0.799756052,-0.629532178,-0.57571644,1.679394777,-0.702738134,-0.072536958,2.171342819,0.865899557,-1.274337287
"Freeman"," Freddie","Freddie Freeman","ATL",518692,2021,1.022960969,1.103960545,1.230712468,1.156011434,1.360296004,0.541078649,-0.081155788,-0.074734531,-0.023832525,-0.702738134,0.710275541,1.028263347,-0.483673433,0.151723519
"Grandal"," Yasmani","Yasmani Grandal","CWS",518735,2021,2.313191594,3.744728884,0.438879534,1.274182251,1.651528959,1.442641447,-0.629532178,-0.57571644,2.000729234,-0.294868768,0.184672863,1.376999457,1.688809916,-1.84476161
"Heyward"," Jason","Jason Heyward","CHC",518792,2021,-0.10492504,-0.000360761,0.095751929,0.071620404,0.094552776,-0.135230312,0.197042181,0.289543677,-0.363797408,-0.702738134,-0.374478922,-0.289184178,-0.352007776,0.037638654
"Kelly"," Merrill","Merrill Kelly","ARI",518876,2021,-1.143454263,-0.168409655,-1.883830408,-1.749600429,-1.686448757,-1.465602378,-0.629532178,-0.57571644,0.144352616,1.74447806,-2.208496778,-1.19977291,1.919224817,-1.787719177
"Kozma"," Pete","Pete Kozma","OAK",518902,2021,-1.143454263,0.167688134,-1.527505587,-1.707893082,-1.171190452,-1.804190212,-0.629532178,-0.57571644,-1.071443357,-0.702738134,-1.850639636,-1.19977291,0.010072783,-0.002291049
"LeMahieu"," DJ","DJ LeMahieu","NYY",518934,2021,-0.441098857,0.767862756,0.80840157,0.175888772,0.867440234,-0.155631445,-0.284770116,-0.286998202,0.460011518,-0.702738134,0.274137149,-0.482926462,0.207571269,-0.133488643
"Lucroy"," Jonathan","Jonathan Lucroy","WSH",518960,2021,-1.143454263,1.296016424,1.441867918,0.217596119,1.337893469,0.757300416,-0.629532178,-0.57571644,-1.071443357,1.74447806,0.743824648,-1.19977291,0.898815971,-0.932082694
"Moore"," Matt","Matt Moore","PHI",519043,2021,-1.143454263,-1.824891613,-2.728452204,-2.340454516,-3.041802126,-1.804190212,-0.629532178,-0.57571644,-1.071443357,1.74447806,-1.850639636,-1.19977291,0.010072783,-0.002291049
"Moreland"," Mitch","Mitch Moreland","OAK",519048,2021,0.687577041,-0.120395685,0.267315731,0.544303673,0.161760381,0.53367821,-0.629532178,-0.57571644,0.17620751,-0.702738134,0.084025542,0.582656096,0.405069755,-1.331379719
"Moustakas"," Mike","Mike Moustakas","CIN",519058,2021,0.231320059,0.263716073,0.016568635,0.245401018,0.116955311,0.293082053,-0.629532178,-0.57571644,0.80207827,-0.702738134,-0.17318428,-0.095441895,0.66840107,-0.875040262
"Rizzo"," Anthony","Anthony Rizzo","CHC",519203,2021,0.716371509,0.335737028,0.544457258,0.718084287,0.811433896,0.275538577,-0.079773012,-0.05777609,0.656653693,-0.702738134,0.06165947,0.292042671,0.306320512,-0.875040262
"Romine"," Austin","Austin Romine","CHC",519222,2021,-0.44461063,-1.056668096,0.135343576,-0.25508715,-0.331095389,-0.220472899,-0.629532178,-0.57571644,2.738050665,-0.702738134,-0.799434279,-0.172938809,0.66840107,-1.046167558
"Sogard"," Eric","Eric Sogard","CHC",519299,2021,-0.895344092,-0.624542368,0.557654474,-0.157770006,0.128156578,-0.494983889,0.439681403,0.431613475,0.619160501,-0.702738134,-0.352112851,-1.064153311,-0.286174947,-0.646870533
"Souza Jr."," Steven","Steven Souza Jr.","LAD",519306,2021,0.127170486,-0.480500459,-0.722475437,-0.02569674,-0.555120739,-0.167682322,-0.629532178,-0.57571644,2.391733032,-0.702738134,0.665543398,-0.172938809,-0.319091361,0.265808383
"Stanton"," Giancarlo","Giancarlo Stanton","NYY",519317,2021,1.734137109,0.791869741,0.874387648,1.246377353,0.923446571,1.485784221,-0.629532178,-0.57571644,1.393523357,-0.702738134,0.195855899,1.841980937,1.293812944,-1.160252423
"Vogt"," Stephen","Stephen Vogt","ARI",519390,2021,0.254232961,0.791869741,-0.154995167,-0.02569674,0.116955311,0.258634871,-0.629532178,-0.57571644,-0.527229901,0.520869963,0.13994072,-0.211687265,-0.220342118,-0.304615939
"Galvis"," Freddy","Freddy Galvis","BAL",520471,2021,0.505502603,-0.168409655,0.465273965,0.488693877,0.307376858,0.189524998,-0.513948634,-0.430524667,-0.108369007,0.276148343,0.45306572,-0.250435722,-0.088676461,-0.532785668
"Perez"," Salvador","Salvador Perez","KC",521692,2021,2.10278707,-0.816598247,0.874387648,1.441011641,0.497798406,1.7690571,-0.564735213,-0.494320889,0.218869119,-0.702738134,0.363601434,1.958226307,0.536735413,-0.361658372
"Flores"," Wilmer","Wilmer Flores","SF",527038,2021,0.796779967,0.431764968,0.729218277,0.766742859,0.710622489,0.583009379,-0.536307242,-0.458610724,0.544408857,-0.702738134,0.207038934,-0.03731921,0.701317485,-1.274337287
"LaMarre"," Ryan","Ryan LaMarre","NYY",534606,2021,2.849937834,0.167688134,-0.220981245,0.968328371,0.228967986,1.468825587,1.313452274,1.864988752,1.64962381,-0.702738134,-1.213206601,0.098300388,-1.142001721,1.178487299
"Tovar"," Wilfredo","Wilfredo Tovar","NYM",541600,2021,-1.143454263,0.167688134,-0.32655897,-1.075331647,-0.241485249,-0.167682322,-0.629532178,-0.57571644,-1.071443357,-0.702738134,-0.25146553,-1.19977291,-0.483673433,0.43693568
"Garcia"," Avisail","Avisail Garcia","MIL",541645,2021,1.494263538,-0.048374731,0.729218277,1.065645515,0.654616151,1.475180946,0.331910724,0.22943622,0.415994662,-0.702738134,0.564896077,1.163882946,-0.319091361,1.121444866
"Perez"," Hernan","Hernan Perez","WSH",541650,2021,-1.143454263,0.455771952,-2.028999779,-1.972039615,-1.440020872,-1.804190212,-0.629532178,-0.57571644,-1.071443357,-0.702738134,-0.967179815,-1.19977291,0.240487683,-0.304615939
"Inciarte"," Ender","Ender Inciarte","ATL",542255,2021,-0.081919639,0.071660194,0.108949144,-0.143867557,-0.017459899,0.402337297,-0.062889027,0.136079725,-0.348121702,0.928739329,0.095208577,-0.560423375,-1.109085307,0.037638654
"Ozuna"," Marcell","Marcell Ozuna","ATL",542303,2021,0.417792138,0.359744013,0.082554713,0.134181425,0.184162916,0.650571632,-0.629532178,-0.57571644,0.752250603,-0.702738134,0.486614827,0.718275694,-0.055760046,-0.133488643
"Villar"," Jonathan","Jonathan Villar","NYM",542340,2021,0.518993108,0.359744013,0.557654474,0.551254898,0.553804744,-0.170922922,1.134417953,0.9014895,-0.316257323,1.74447806,-0.106086066,0.233919986,-0.615339091,0.322850815
